[2026-03-24 06:18:10] | USERNAME: NguyenTanA           | IP: ::1             | STAGE: REGISTER   | RESULT: REGISTER_SUCCESS
[2026-03-24 06:18:23] | USERNAME: NguyenTanA           | IP: ::1             | STAGE: PASSWORD   | RESULT: SUCCESS
[2026-03-24 06:49:19] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: REGISTER   | RESULT: REGISTER_SUCCESS
[2026-03-24 06:49:26] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: SUCCESS
[2026-03-24 09:52:55] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-24 09:53:24] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_FAILURE
[2026-03-24 09:53:45] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-24 09:57:36] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-24 09:57:51] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-24 09:57:52] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-26 06:22:19] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-26 06:22:21] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-26 07:31:25] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-26 07:31:31] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-26 07:32:15] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-26 07:33:43] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-26 07:35:22] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
[2026-03-26 07:35:23] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: MFA        | RESULT: MFA_DEV_BYPASS
[2026-03-26 07:36:42] | USERNAME: LUCNGUYEN            | IP: ::1             | STAGE: PASSWORD   | RESULT: PASSWORD_OK_MFA_PENDING
